,Pregunta,Intencion,Pregunta_new,Pregunta_corregida
214,como pagar el limite de acuerdo,Cat_56,como pagar el limite de acuerdo,como pagar el limite de acuerdo
215,el cajero automatico no me dio el dinero de una extración,Cat_297,el cajero automatico no me dio el dinero de una extración,el cajero automatico no me dio el dinero de una extracción
216,tengo dudas sobre comisiones que cobra el banco,Cat_96,tengo dudas sobre comisiones que cobra el banco,tengo dudas sobre comisiones que cobra el banco
217,necesio pagar por pagos mis cuenta una tarjeta cencosud,Cat_132,necesio pagar por pagos mis cuenta una tarjeta cencosud,necesito pagar por pagos mis cuenta una tarjeta cencosud
218,hay alguna manera de cambiar el ciclo de mi tarjeta para que no venza los primeros días del mes?,Cat_348,hay alguna manera de cambiar el ciclo de mi tarjeta para que no venza los primeros días del mes,hay alguna manera de cambiar el ciclo de mi tarjeta para que no venza los primeros días del mes
219,canje por entrada de espectáculos superclub,Cat_322,canje por entrada de espectáculos superclub,canje por entrada de espectaculo superclub
220,me decís como puedo hacer para ver mi resumen de cuenta,Cat_138,me decís como puedo hacer para ver mi resumen de cuenta,me decís como puedo hacer para ver mi resumen de cuenta
221,donde me pueden mostrar el listado de concesionarios?,Cat_223,donde me pueden mostrar el listado de concesionarios,donde me pueden mostrar el listado de concesionarios
222,cuales son los gastos asociados al préstamo hipotecario?,Cat_231,cuales son los gastos asociados al préstamo hipotecario,cuales son los gastos asociados al préstamo hipotecario
223,cual es el requisito de ingresos para platinum,Cat_40,cual es el requisito de ingresos para platinum,cual es el requisito de ingresos para platinum
224,banco quiero averiguar santander,Cat_39,banco quiero averiguar santander,banco quiero averiguar santander
225,no me debitaron metrogas con debito automatico,Cat_129,no me debitaron metrogas con debito automatico,no me debitaron metrogas con debito automatico
226,cuanto dinero tengo disponible en el open ?,Cat_198,cuanto dinero tengo disponible en el open ,cuanto dinero tengo disponible en el open
227,para la escritura de compra puedo poner mi propio escribano?,Cat_207,para la escritura de compra puedo poner mi propio escribano,para la escritura de compra puedo poner mi propio escribano
228,quiero hacer una suscripción de acciones de macro,Cat_151,quiero hacer una suscripción de acciones de macro,quiero hacer una suscripción de acciones de macro
229,el límite en dolares de la visa y de la american expres que tengo,Cat_303,el límite en dolares de la visa y de la american expres que tengo,el limite en dolar de la visa y de la america expres que tengo
230,que tengo que hacer para pedir el preacordado,Cat_223,que tengo que hacer para pedir el preacordado,que tengo que hacer para pedir el procordado
231,a los que trabajan en la municipalidad dan prestamos,Cat_248,a los que trabajan en la municipalidad dan prestamos,a los que trabajan en la municipalidad dan prestamos
232,¿tarda mucho en hacerse efectivo un deposito?,Cat_109,tarda mucho en hacerse efectivo un deposito,tarda mucho en hacerse efectivo un deposito
233,debitar metrogas debitar automatico,Cat_129,debitar metrogas debitar automatico,debitar metrogas debitar automatico
234,quiero averiguar por un prestamo. pero no soy clienta,Cat_248,quiero averiguar por un prestamo pero no soy clienta,quiero averiguar por un prestamo pero no soy clienta
235,quiero confirmar la adhesión al débito automatico de ede,Cat_93,quiero confirmar la adhesión al débito automatico de ede,quiero confirmar la adhesión al debito automatico de de
236,que beneficios tengo con infinity,Cat_311,que beneficios tengo con infinity,que beneficios tengo con infinita
237,cuales son las excepciones del servicio de asistencia al viajero?,Cat_282,cuales son las excepciones del servicio de asistencia al viajero,cuales son las excepciones del servicio de asistencia al viajero
238,soy cliente y necesito un prestamo para un auto,Cat_223,soy cliente y necesito un prestamo para un auto,soy cliente y necesito un prestamo para un auto
239,queria saber cuándo voy a poder cobrar una licencia,Cat_37,queria saber cuándo voy a poder cobrar una licencia,quera saber cuándo voy a poder cobrar una licencia
240,cuales son los principales riesgos de sacar un prestamo hipotecario con el banco?,Cat_237,cuales son los principales riesgos de sacar un prestamo hipotecario con el banco,cuales son los principales riesgos de sacar un prestamo hipotecario con el banco
241,entro a home banking y no me permite operar,Cat_117,entro a home banking y no me permite operar,entro a home bancking y no me permite operar
242,acceder a mi cuenta bancaria,Cat_3,acceder a mi cuenta bancaria,acceder a mi cuenta bancaria
243,acabo de hacer un canje en despegar y no me llega el voucher,Cat_333,acabo de hacer un canje en despegar y no me llega el voucher,acabo de hacer un canje en despegar y no me llega el vaucher
244,necesito que dejen de enviarme el resumen de las inversiones,Cat_179,necesito que dejen de enviarme el resumen de las inversiones,necesito que dejen de enviarme el resumen de las inversiones
245,quiero saber que importe de cuota abonaría por un credito,Cat_251,quiero saber que importe de cuota abonaría por un credito,quiero saber que importe de cuota abonarla por un credito
246,tengo un credito prendario automotor y quiero cambiarme de aseguradora por una mas economica,Cat_262,tengo un credito prendario automotor y quiero cambiarme de aseguradora por una mas economica,tengo un credito prendario automotor y quiero cambiarme de aseguradora por una mas economica
247,quisieron entrar a mi casa y rompieron el vidrio  como tengo que hacer ? que tengo que llevar al banco?,Cat_265,quisieron entrar a mi casa y rompieron el vidrio  como tengo que hacer  que tengo que llevar al banco,quisieron entrar a mi casa y rompieron el vidrio como tengo que hacer que tengo que llevar al banco
248,nunca recibí la tarjeta de debito,Cat_293,nunca recibí la tarjeta de debito,nunca recibí la tarjeta de debito
249,margen tarjeta,Cat_303,margen tarjeta,margen tarjeta
250,querer monto pagar tarjeta visa,Cat_342,querer monto pagar tarjeta visa,querer monto pagar tarjeta visa
251,no puedo comprar acciones  aparece un cartel previo indicando que antes tengo que aceptar las condiciones de la cuenta o algo parecido.,Cat_151,no puedo comprar acciones  aparece un cartel previo indicando que antes tengo que aceptar las condiciones de la cuenta o algo parecido,no puedo comprar acciones aparece un cartel previo indicando que antes tengo que aceptar las condiciones de la cuenta o algo parecido
252,voy a la univ. puedo pedir una tarj?,Cat_359,voy a la univ puedo pedir una tarj,voy a la unir puedo pedir una tara
253,de que te puedo preguntar?,Cat_16,de que te puedo preguntar,de que te puedo preguntar
254,quiero que me envíen la póliza por mail,Cat_266,quiero que me envíen la póliza por mail,quiero que me envíen la póliza por mail
255,pedí una renovación de tarjeta hace un mes y todavía no me llegue nada.,Cat_293,pedí una renovación de tarjeta hace un mes y todavía no me llegue nada,pedí una renovación de tarjeta hace un mes y todavía no me llegue nada
256,como hago para recargar saldo en mi cel prepago con mi tarjeta de debito?,Cat_132,como hago para recargar saldo en mi cel prepago con mi tarjeta de debito,como hago para recargar saldo en mi bel prepago con mi tarjeta de debito
257,canjee dos voucher para fly bondi pero nose como usarlos,Cat_333,canjee dos voucher para fly bondi pero nose como usarlos,canjee dos vaucher para lly bondi pero tose como usarlos
258,necesitar pagar mastercard,Cat_342,necesitar pagar mastercard,necesitar pagar mastercard
259,no entender movimiento tenia,Cat_115,no entender movimiento tenia,no entender movimiento tenia
260,soy select y necesito telefono para consulta,Cat_147,soy select y necesito telefono para consulta,soy selecta y necesito telefono para consulta
261,querer pagar patentar auto,Cat_132,querer pagar patentar auto,querer pagar patentar auto
262,quisiera saber hasta cuanto podria sacar en credito para vivienda,Cat_251,quisiera saber hasta cuanto podria sacar en credito para vivienda,quisiera saber hasta cuanto podrir sacar en credito para vivienda
263,me rebotaron la amex recien en una compra,Cat_286,me rebotaron la amex recien en una compra,me rebotaron la amex recien en una compra
264,numero de tel atencion al cliente,Cat_147,numero de tel atencion al cliente,numero de tel atencion al cliente
265,consultar gastar tarjeta credito,Cat_115,consultar gastar tarjeta credito,consultar gastar tarjeta credito
266,saque plata del cajero  me desconto pero me dio menos,Cat_297,saque plata del cajero  me desconto pero me dio menos,saque plata del cajero me desconton pero me dio menos
267,yo realice un canje por los puntos. y no me llego el producto todavia quisiera saber el estado cuando me llegaria?,Cat_326,yo realice un canje por los puntos y no me llego el producto todavia quisiera saber el estado cuando me llegaria,yo realice un canje por los puntos y no me llego el producto todavia quisiera saber el estado cuando me plegaria
268,donde me fijo el límite de ccredito que tengo?,Cat_223,donde me fijo el límite de ccredito que tengo,donde me fijo el limite de credito que tengo
269,necesito pedir el descubierto,Cat_57,necesito pedir el descubierto,necesito pedir el descubierto
270,es posible ver el lí¬≠mite de compra?,Cat_303,es posible ver el límite de compra,es posible ver el limite de compra
271,gasto mantencion,Cat_96,gasto mantencion,gasto mantencion
272,tarjeta enviada por correo cómo hago el seguimiento,Cat_293,tarjeta enviada por correo cómo hago el seguimiento,tarjeta enviada por correo como hago el seguimiento
273,entender resumen inversión,Cat_188,entender resumen inversión,entender resumen inversión
274,quiero información sobre las comisiones para comprar lebacs,Cat_96,quiero información sobre las comisiones para comprar lebacs,quiero información sobre las comisiones para comprar lebacs
275,quiero pagar tarjeta santander,Cat_342,quiero pagar tarjeta santander,quiero pagar tarjeta santander
276,queria seguimiento tarjeta nunca llegar,Cat_293,queria seguimiento tarjeta nunca llegar,quera seguimiento tarjeta nunca llegar
277,querer pagar impuesto online banking,Cat_132,querer pagar impuesto online banking,querer pagar impuesto online bancking
278,donde puedo descargar certificado de la cuenta bancaria,Cat_42,donde puedo descargar certificado de la cuenta bancaria,donde puedo descargar certificado de la cuenta bancaria
279,numero telefono terminar,Cat_147,numero telefono terminar,numero telefono terminar
280,como me inscribo para los beneficios con la tarjeta,Cat_311,como me inscribo para los beneficios con la tarjeta,como me inscribo para los beneficios con la tarjeta
281,si no sos cliente podes acceder a un prestamo via online,Cat_248,si no sos cliente podes acceder a un prestamo via online,si no os cliente podes acceder a un prestamo via online
282,como hago para poner metrogas en la tarjeta?,Cat_132,como hago para poner metrogas en la tarjeta,como hago para poner metrogas en la tarjeta
283,puedo comprar un ph con el préstamo hipotecario?,Cat_211,puedo comprar un ph con el préstamo hipotecario,puedo comprar un ph con el préstamo hipotecario
284,ya pasaron hs y no me habilitan saldo,Cat_279,ya pasaron hs y no me habilitan saldo,ya pasaron hs y no me habilitan saldo
285,fci nueva medida,Cat_172,fci nueva medida,fci nueva medida
286,hacer reclamo solucion,Cat_135,hacer reclamo solucion,hacer reclamo solucion
287,pagar programar abonar afip debitar correctamente motivo,Cat_129,pagar programar abonar afip debitar correctamente motivo,pagar programar abonar afip debitar correctamente motivo
288,como puedo sacar el resumen,Cat_138,como puedo sacar el resumen,como puedo sacar el resumen
289,pagar tarjeta,Cat_342,pagar tarjeta,pagar tarjeta
290,necesito depositar un cheque en dolares,Cat_30,necesito depositar un cheque en dolares,necesito depositar un cheque en dolar
